,time,positions_axis_1,positions_axis_2,positions_axis_3,positions_axis_4,positions_axis_5,positions_axis_6,velocities_axis_1,velocities_axis_2,velocities_axis_3,velocities_axis_4,velocities_axis_5,velocities_axis_6,accelerations_axis_1,accelerations_axis_2,accelerations_axis_3,accelerations_axis_4,accelerations_axis_5,accelerations_axis_6
10,1.0,-0.06954500983169734,0.07972397990328217,0.23293384896903802,-0.17500000000000135,0.07120495259486706,0.16899376555336268,-0.07948001123622728,0.09111311988946734,0.07192439882175924,-0.20000000000000595,0.08137708867984983,0.19313573206099013,-2.3545148975335145e-12,2.6869170007147167e-12,2.119063407780163e-12,-5.927837506731436e-12,2.3960651604311647e-12,5.706236104610635e-12
11,1.1,-0.07749301095531996,0.08883529189222879,0.24012628885121381,-0.19500000000000167,0.07934266146285193,0.18830733875946143,-0.07948001123622728,0.09111311988946734,0.07192439882175924,-0.20000000000000595,0.08137708867984983,0.19313573206099013,-2.3545148975335145e-12,2.6869170007147167e-12,2.119063407780163e-12,-5.927837506731436e-12,2.3960651604311647e-12,5.706236104610635e-12
12,1.2,-0.08544101207894259,0.09794660388117539,0.24731872873338964,-0.215000000000002,0.08748037033083679,0.20762091196556015,-0.07948001123622728,0.09111311988946734,0.07192439882175924,-0.20000000000000595,0.08137708867984983,0.19313573206099013,-2.3545148975335145e-12,2.6869170007147167e-12,2.119063407780163e-12,-5.927837506731436e-12,2.3960651604311647e-12,5.706236104610635e-12
13,1.3,-0.09338901320256517,0.10705791587012196,0.25451116861556544,-0.2350000000000022,0.09561807919882163,0.22693448517165882,-0.07948001123622725,0.09111311988946728,0.0719243988217593,-0.20000000000000573,0.08137708867984982,0.19313573206099005,-2.271414371738214e-12,2.6038164749194162e-12,2.0498129696174128e-12,-5.706236104610635e-12,2.3268147222684143e-12,5.512334877754934e-12
14,1.4,-0.10133701432618777,0.11616922785906857,0.26170360849774127,-0.2550000000000025,0.10375578806680649,0.2462480583777576,-0.07948001123622725,0.09111311988946728,0.0719243988217593,-0.20000000000000573,0.08137708867984982,0.19313573206099005,-2.271414371738214e-12,2.6038164749194162e-12,2.0498129696174128e-12,-5.706236104610635e-12,2.3268147222684143e-12,5.512334877754934e-12
15,1.5,-0.10928501544981037,0.12528053984801515,0.2688960483799171,-0.2750000000000028,0.11189349693479136,0.26556163158385626,-0.07948001123622725,0.09111311988946728,0.0719243988217593,-0.20000000000000573,0.08137708867984982,0.19313573206099005,-2.271414371738214e-12,2.6038164749194162e-12,2.0498129696174128e-12,-5.706236104610635e-12,2.3268147222684143e-12,5.512334877754934e-12
16,1.6,-0.11723301657343299,0.13439185183696176,0.2760884882620929,-0.29500000000000304,0.12003120580277622,0.28487520478995504,-0.07948001123622725,0.09111311988946728,0.0719243988217593,-0.20000000000000573,0.08137708867984982,0.19313573206099005,-2.271414371738214e-12,2.6038164749194162e-12,2.0498129696174128e-12,-5.706236104610635e-12,2.3268147222684143e-12,5.512334877754934e-12
17,1.7,-0.12518101769705553,0.14350316382590825,0.28328092814426864,-0.3150000000000031,0.128168914670761,0.3041887779960535,-0.07948001123621941,0.09111311988945829,0.07192439882175218,-0.19999999999998624,0.08137708867984178,0.1931357320609709,5.470784614856071e-12,-6.274089697543798e-12,-4.944481284819285e-12,1.3739286931486641e-11,-5.6092854911815414e-12,-1.3296084127245135e-11
18,1.8,-0.1331290188206777,0.15261447581485438,0.2904733680264441,-0.3350000000000024,0.13630662353874543,0.3235023512021512,-0.07948001123621941,0.09111311988945829,0.07192439882175218,-0.19999999999998624,0.08137708867984178,0.1931357320609709,5.470784614856071e-12,-6.274089697543798e-12,-4.944481284819285e-12,1.3739286931486641e-11,-5.6092854911815414e-12,-1.3296084127245135e-11
19,1.9,-0.14107701994429994,0.16172578780380054,0.2976658079086196,-0.3550000000000018,0.1444443324067299,0.34281592440824904,-0.07948001123621941,0.09111311988945829,0.07192439882175218,-0.19999999999998624,0.08137708867984178,0.1931357320609709,5.470784614856071e-12,-6.274089697543798e-12,-4.944481284819285e-12,1.3739286931486641e-11,-5.6092854911815414e-12,-1.3296084127245135e-11
20,2.0,-0.14902502106792215,0.17083709979274667,0.304858247790795,-0.375000000000001,0.15258204127471436,0.3621294976143467,-0.07948001123625463,0.09111311988949868,0.07192439882178404,-0.20000000000007487,0.08137708867987785,0.1931357320610565,-2.968073779655483e-11,3.402966531317556e-11,2.6855319919514617e-11,-7.470737268997516e-11,3.038709226581489e-11,7.213125639032084e-11
